,key_id,referee_id,family_name,given_name,female,country_name,confederation_id,confederation_name,confederation_code,referee_wikipedia_link
398,399,R-399,Seipelt,Fritz,0,Austria,CF-6,Union of European Football Associations,UEFA,not available
399,400,R-400,Seitz,Kari,1,United States,CF-3,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,https://en.wikipedia.org/wiki/Kari_Seitz
400,401,R-401,Shield,Mark,0,Australia,CF-1,Asian Football Confederation,AFC,https://en.wikipedia.org/wiki/Mark_Shield
401,402,R-402,Shrestha,Gyanu Raja,0,Nepal,CF-1,Asian Football Confederation,AFC,not available
402,403,R-403,Shukralla,Nawaf,0,Bahrain,CF-1,Asian Football Confederation,AFC,https://en.wikipedia.org/wiki/Nawaf_Shukralla
403,404,R-404,Siebert,Daniel,0,Germany,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Daniel_Siebert_(referee)
404,405,R-405,Sikazwe,Janny,0,Zambia,CF-2,Confederation of African Football,CAF,https://en.wikipedia.org/wiki/Janny_Sikazwe
405,406,R-406,Silva,Hernán,0,Chile,CF-4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Hern%C3%A1n_Silva
406,407,R-407,Silva Valente,Carlos,0,Portugal,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Carlos_Silva_Valente
407,408,R-408,Silvagno Cavanna,Juan,0,Chile,CF-4,South American Football Confederation,CONMEBOL,not available
408,409,R-409,Simon,Carlos Eugênio,0,Brazil,CF-4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Carlos_Eug%C3%AAnio_Simon
409,410,R-410,Siqueira,Maria Edilene,1,Brazil,CF-4,South American Football Confederation,CONMEBOL,not available
410,411,R-411,Skogvang,Bente,1,Norway,CF-6,Union of European Football Associations,UEFA,not available
411,412,R-412,Skomina,Damir,0,Slovenia,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Damir_Skomina
